,text,label
0,new yorkers encounter empty supermarket shelves wegmans online grocers shoppers stock,Extremely Negative
1,find hand sanitizer fred turned pack concerns driving,Positive
2,find protect loved ones,Extremely Positive
3,buying hits city anxious shoppers stock supplies worker becomes confirmed patient staged,Negative
4,one week everyone buying baby milk powder next everyone buying toilet,Neutral
5,remember last time paid gallon regular gas los pump going look impacting,Neutral
6,voting age hand sanitizer,Positive
7,stop without protecting prices surgical masks increased respirators trebled gowns cost twice,Neutral
8,hi sell hand sanitizer like sold fuck use visit twenty pharmacies looking last pharmacies full sick,Extremely Negative
9,anyone supermarket last went normal shop last night sight greeted special tinned,Extremely Positive
10,best quality couches unbelievably low prices available boksburg gp info,Positive
11,beware counterfeits trying sell fake masks cheap defeat coronavirus,Extremely Negative
12,panic food buying germany due left panic buying called taken way hamsters stuff cheeks,Extremely Negative
13,went grocery turns cleaning supplies bought fear substitute teacher showed class make hand need buy wish luck stores,Extremely Positive
14,busy watching election returns bracing trump nominated lobbyist head consumer product safety commission,Positive
15,providing customers free passengers forced choose paid seats free seats made available airport stopped discriminatory travellers rights,Extremely Negative
16,precautionary measures taken respective restaurants comment hotel chains enforce precautionary issue hygiene advisories,Extremely Positive
17,stockpiling food buy extra local food many families luxury spend beyond weekly,Neutral
18,week bit probably take another supply chain may demand chain us europe next month,Positive
19,studies show like live nine days hard surfaces like deputy commissioner consumer affairs mary barzee flores shows keep clean gas watch,Extremely Positive
20,people starting become frightened many turn empty disinfection liquid sold sold exorbitant,Negative
21,think good comes combating keep mind many people grocery store gas station touch keypad every,Extremely Positive
22,control stocks gold coming back loves wallbridge balmoral warns listeners sprott money recently put money many,Extremely Positive
23,sellers cashing panic sell facemasks sanitizers super inflated neither sanitizer facemasks save please watch video,Extremely Positive
24,oilpatch bracing impact plunging crude prices afterâ opec allies failed reach deal aimed cutting production economies slow becauseâ novel fool based budget hired oil prices,Extremely Negative
25,alright hope melanin prevails case took precautions food water masks month may open,Positive
26,usual grocery shopping turns toilet paper fight supermarket taken whole new,Negative
27,coronavirus panic costco pulling free samples usa today coronavirus panic costco pulling free samples â usa today virus hits los angelesâ â yahoo news costco haâ,Negative
28,stocking waiting forget donate toiletries local food banks help others without means stock get ahead becomes,Negative
29,exposure holes social safety says nelp government affairs director judy conti,Positive
30,two important phone numbers nyers doctor insurance think may sick need tested call report price call consumer protection,Negative
31,tip pro wrestlers help combat like bring hand sanitizer matches precaution,Extremely Positive
32,scare american us msm intended crash us biden,Extremely Negative
33,imho rug pull oil prices designed end dollar global reserve corp debt led high yield compounded mean fed us govt respond ciao alt got,Extremely Negative
34,due supermarkets begin wave panic buying,Neutral
35,media deflection stories bog food irish bridges etc still got crashing economy worst uk govt living depressing stuff aint gonna end,Extremely Negative
36,fellow uni class cancelations remember salaried maybe hr union demand know hourly workers compensated campus,Negative
37,even actual news people need food water need paper wipe,Neutral
38,part soap work well coronavirus indeed nanoparticle weakest link lipid two part thread viruses supramolecular chemistry,Negative
39,please stop shaming folks stock food personal care products ahead made clear care protecting families tiny bit mastery control terrifying,Extremely Positive
40,thinking included aid package check prices antibacterial disinfectant safer transportation crowded city busses list goes,Positive
41,far pennsylvanians reached office report inflated prices everything disinfectant spray liquid price gouging like keep emails,Negative
42,global stock markets continued bear run plunged opened plunge largely back overnight slump along persistent concerns impact global,Neutral
43,scammers taking advantage fears surrounding tips help keep scammers,Positive
44,business international webinar show navigate exporting challenges rising commodity prices due,Positive
45,gig economy earn ppl going immediately process refunds earned income tax credit child tax credit borrow cash help make ends meet normal consumer behavior returns,Extremely Positive
46,instructed insurance companies make testing important step help ensure cost barriers stand way people getting read,Extremely Positive
47,oil prices dipping absolutely nothing everything talks collapsing saudi feuding celebrate calm hell,Extremely Negative
48,global stocks plummeted today due fear surrounding falling oil saw biggest drop since gulf look major stock indices reacting based closing,Extremely Negative
49,beginning global damaging health prices falling us stocks falling drop morning trading crisis eu borders skyrocketing tenants losing,Extremely Negative
50,factors bought recession growth stagnant debt levels roof casualized changes economy driven government,Extremely Negative
51,cuomo press new york releasing new brand state made sanitizer prices,Neutral
52,ignore online offers currently lozenges prescription products available treat cure disease online,Negative
53,lucky enough sitting home enough food get period please consider donating help stock even wanted,Extremely Positive
54,americans need take upon help avoid contracting prep self quarantine stop unnecessary travel crowd talk employer proceed harm plan sch,Extremely Negative
55,separate table us corna virus high stats corona us inability control corona high price disinfectant gel usa high price mask food prices rising day day,Negative
56,shortage believe everything see costco,Negative
57,come please like,Positive
58,booked ticket event part package holiday offered alternative refund travel cancelled due check consumer,Positive
59,new jersey officials urge residents stock two week quarantine,Neutral
60,russia lng also irony spot lng prices already record low declaration force majeure chinese contracted lng became way make money oil prices big hit,Extremely Negative
61,watched closely spins know americans value wiping citizens rush buy toilet paper neglect stock terrorists holding factories film,Extremely Negative
62,novel continues spread impact international business supply commodity consumer confidence business forecasts becoming increasingly,Extremely Positive
63,lower lower sort fiscal consumer problem fear fear quarantined people stopped interest rates,Extremely Negative
64,consumers increased online shopping due,Positive
65,self indulging thoughts medicine essential household goods stock like people universal credit stock piling,Negative
66,ok nothing panic italy imposing biggest restrictions civilian population since supermarkets able provide food workers told stay,Positive
67,trump said people must really working lot good things going consumer consumer powerful country done tax cuts regulation cuts,Extremely Positive
68,top food items stock case quarantined home stays ten foods stocking pantry support physical mental,Positive
69,hi please support local chinese restaurant order delicious food really struggling many let staff favs thank,Positive
70,report instances price gouging scams attorney consumer protection hotline online,Negative
71,russia breaking rank signalled intent take american oil gas steeped markets least favorite uncertainty time succeed low oil prices last long,Extremely Positive
72,experts talk significant decrease traffic due,Positive
73,met members distributive trade today examine preparation impact covid based reports key manufacturers importers least mths therefore expect shortage critical food,Negative
74,say need stock couple tips get properly store,Neutral
75,genuine concern around folks may work low pay jobs folks barely getting dont get paid sick folks stock weeks worth folks working poor suffer,Extremely Negative
76,could many population infected end prayers science come world recover stock food,Negative
77,important ceo brian beaulieu broadened scope expect oil prices stock market retail unfolding situations china learn,Positive
78,taking stores adding hours staff clean stopping food bolstering order pick drive encouraging employees stay adding limiting items,Positive
79,older folks stock stay home amid business insider,Positive
80,get infected death rate die dont mo mney stock find fishing hole supplies hunt,Extremely Negative
81,every chemist retailer sort raises prices boycotted greed country starts governed us almost ff fg made many us lose compassion,Negative
82,witch hazel help protect diy hand,Extremely Positive
83,donaldtrump lies rumor never recognized sense humor sells us balm tells us stay calm blames,Negative
84,balm coronavirus lies rumor never recognized sense humor sells us balm us stay calm blames,Negative
85,expected heavily impacted steep declines commodity prices analysts cutting analyse,Negative
86,suggestions work remotely home online lectures updated health website order shopping online delivery need broadband,Negative
87,retailers gouging consumer clorox spray wipes use even gee bet make,Neutral
88,stay stay adapt know office answer questions sick consumer health care fair labor,Negative
89,even without suspension elimination quickest sensible means enhancing consumer liquidity working especially low wage exactly right,Negative
90,advice national us health experts avoiding americans stock food medications avoid venturing coronavirus uk wash hands carry,Negative
91,awful impacts continuing felt around events china also affecting uk container mean looking buy find,Negative
92,wash hands often seconds soap use hand,Positive
93,oil price drop lead us recession business insider,Negative
94,german colleagues confirmed hamster stuffs cheeks indeed german term panic cute news need,Negative
95,government must provide hand sanitizer public buildings transport matter utmost state must penalize business trying profit crisis rising prices essential items like hand,Extremely Positive
96,need quarantined home consumer reports,Neutral
97,see new join us saturday march roberts downtown location make sure stop register free mystery,Extremely Positive
98,spiking prices state emergency report,Extremely Negative
99,besides canned food toilet,Neutral
100,summarized important points paper,Positive
101,husband asked today stock food supplies,Neutral
102,missouri ag sues televangelist advertising cure coronavirus,Positive
103,president go stay go,Positive
104,actually need stock pile food first actually use toilet eat need use need toilet paper,Neutral
105,calling canadian federal government provide stimulus current basic income could help keep people revive consumer confidence,Extremely Positive
106,solid advice family members care older consider stocking medications avoid venturing spreads,Positive
107,local media naples reported seria football players llorente ospinta among people queuing outside supermarket last night stock food,Negative
108,state emergency effect statewide due californians protected illegal price gouging essential,Negative
109,thinking close many children may lose access main source happen demand food,Negative
110,go sick wash hands call wear mask doctor stock medicines work home keep social distances hand sanitizer surfaces avoid touching,Negative
111,appear absolutely good stock buying food goods toilet rolls moving something good buying tin whistles apple watch better toilet rolls,Positive
112,pretty good chance store health insurance paid sick also pretty good chance people come contact still think good,Extremely Positive
113,understand run toilet would think stock food without need toilet,Negative
114,govt trying boost spending save economy several retail staff witnessed yesterday one store continuously coughing,Positive
115,lied find need stock food water cities coronavirus chiropractor naturopath stocks gold silver blackpink bts coach trainer librarian twice yibo xiaozhan animalcrossing trucker,Negative
116,metro manila lock cause shortage food hoarding less fortunate families able stock lot oh pray end everything boils,Negative
117,hey important message family viewers aware corona virus follow procedures help keep family,Extremely Positive
118,low gas prices could hurt economy drivers take,Negative
119,due year old grandma going cabinets round present bottle hydrogen peroxide expired july,Neutral
120,fuck safer train gas station grocery store gym ballgame amusement either put guys gas masks guns streets let us live lives,Positive
121,one beautiful things working home strictly online small transmittable keep,Extremely Positive
122,public college university closures due lot food insecure students go stock consider donating local food pantry help feed,Neutral
123,latin affected country twin crises collapsing oil see,Negative
124,crisis speed technological revolution health shopping work go online even faster pace see robots,Extremely Negative
125,crisis speed technological revolution health shopping work go online even faster pace see robots page,Extremely Negative
126,ok know people scared stock piling food toilet paper cat like guys cat picky eats brand start buying cat,Positive
127,food products stock canned many veggies fruit noodles wish felt safe fresh stuff maybe dried stockpile,Positive
128,fallout ghost flights going swap cabin payload cargo self isolated individuals take online shopping globally pastime waiting lockdowns end,Negative
129,avoid panic empty shelves stores stock amazon pantry,Extremely Negative
130,admin worried stock oil hotel people nation want know tested become ill go work earn next rent food,Negative
131,shares turkish supermarket chain migros surged much today expectations stocking first coronavirus case,Positive
132,made flights emptied busy tourist destinations panicked hell stock markets lower house,Extremely Negative
133,former supermarket boss says staff due possible symptoms affect abiity stores shelves also delivery drivers,Negative
134,fight broke australian supermarket led police woman asked one second woman least four large packets,Extremely Negative
135,please ask government food security coming months case crisis due canadian r afraid buying stock coming hard find lysol hand hand soaps,Extremely Positive
136,rd shares helpful tips comes stocking food stock pantry always aim diet consist,Extremely Positive
137,please make sure midst panic buying hoarding general insanity seen stores recently save stock local food banks seen donations together,Negative
138,coronavirus latest good piece informal poll taking infection precautions stockpiling foods essential supplies right many weeks planning,Extremely Positive
139,matter going grind,Neutral
140,charities like scrambling cancelling big fundraisers due went virtual days raised share,Extremely Positive
141,sanitizer special squirt sanitizer purchase awesome donut great cup,Extremely Positive
142,price,Neutral
143,therapist recommends go among people isolate less government advises stay recommend consider even go shopping anymore instead online,Neutral
144,due looks like shopping online reading books,Positive
145,interesting see many businesses telling employees work home us would happen one grocery store coworkers contracted affected customer comes,Positive
146,chemical explanation soap water weapon soap almost like demolition team breaking building taking bricks says chemistry prof palli,Negative
147,petrol station place sells hand paper expected price greedy dont,Negative
148,lets hope stock bought toilet roll get shits get forced stay indoors toilet roll hardly,Negative
149,smart stock years supply live canned perishable food,Positive
150,everyone really need stock toilet paper paper two weeks food need year worth toilet paper paper like world,Negative
151,fill fridge enough ready medical avoid updated dont work home boost immune system drinking vitamins always wash stay safe,Extremely Positive
152,saying stock extra days worth food prep saw woman panick said know extra days food looked policy,Neutral
153,consumer prices unexpectedly rose february likely decline months ahead outbreak depresses demand goods,Extremely Negative
154,ever notice people could afford skip meals stampeding grocery store stock,Neutral
155,news panic buying food supermarkets headlines fear stock look gas monitoring frozen dried food discover play role keeping food,Negative
156,extra income stock afford please also donate supplies food fight system leave people struggling hungry,Negative
157,going food ur household must check,Negative
158,cpg retail major retailers china like nike temporarily shuttered store sellers marketplace reportedly struggling bring goods country infects luxury spending ralph lauren,Positive
159,people uk stock piling bog pissed ur running spend pack normally pay u end quarantined u home w food surrounded bog,Extremely Negative
160,time stock cat,Positive
161,oil prices head higher cut hopes march,Positive
